Airline IATA,Source airport IATA,Destination airport IATA,Distance
AA,JFK,PHX,3458.11906367387
AA,JFK,RDU,686.50304121785
AA,JFK,SEA,3886.6379044866676
AA,LAS,CLT,3076.587695800183
AA,LAS,DFW,1694.7999229712295
AA,LAS,JFK,3609.2825234219504
AA,LAS,LAX,379.9942734236406
AA,LAS,ORD,2431.6928481174373
AA,LAS,PHL,3494.414109617585
AA,LAS,PHX,410.8486569165901
AA,LAX,ANC,3770.8093237260714
AA,LAX,BDL,4057.3313327474443
AA,LAX,BNA,2886.3192287624256
AA,LAX,BOS,4193.02908746007
AA,LAX,CLT,3412.5341856716655
AA,LAX,DEN,1385.139203807797
AA,LAX,DFW,1983.1744750180885
AA,LAX,HNL,4108.224323399248
AA,LAX,IAD,3674.03017724721
AA,LAX,IND,2912.8778685305833
AA,LAX,JFK,3974.1967108791923
AA,LAX,LAS,379.9942734236406
AA,LAX,MCO,3562.3146853313297
AA,LAX,OKC,1906.2071383647533
AA,LAX,ORD,2802.1160076904785
AA,LAX,PDX,1343.0896596192872
AA,LAX,PHL,3856.314910792288
AA,LAX,PHX,594.3608778208186
AA,LAX,RDU,3594.5314691820645
AA,LAX,SEA,1536.9096838729733
AA,LAX,SLC,949.3163049513364
AA,LAX,STL,2556.762811981745
AA,MCO,CLT,755.2029149067863
AA,MCO,DFW,1582.4157318228752
AA,MCO,JFK,1521.3886141530443
AA,MCO,LAX,3562.3146853313297
AA,MCO,ORD,1620.0831318457797
AA,MCO,PHL,1388.5554903516609
AA,MCO,PHX,2969.687914351297
AA,MCO,SEA,4104.686595514186
AA,MKE,CLT,1047.7823784721302
AA,MKE,DFW,1373.5748328148597
AA,MKE,ORD,107.70559301189579
AA,MKE,PHL,1108.1397811183788
AA,MKE,PHX,2346.524863666096
AA,MSP,CLT,1496.0732153972012
AA,MSP,DFW,1372.5779149181371
AA,MSP,ORD,536.9953198971815
AA,MSP,PHL,1574.423331347321
AA,MSP,PHX,2051.7078346953285
AA,MSY,CLT,1047.2193499352472
AA,MSY,DFW,719.4399852682247
AA,MSY,ORD,1349.2498778486827
AA,MSY,PHL,1750.8832636394734
AA,OKC,DFW,282.3630290991225
AA,OKC,LAX,1906.2071383647533
AA,OKC,ORD,1114.2406246539097
AA,OMA,CLT,1467.7316602972016
AA,OMA,DFW,940.2113048334137
AA,OMA,ORD,667.8847593393182
AA,OMA,PHX,1667.5377576255903
AA,ORD,ATL,976.3278291656198
